Ticker,Current VaR (95%),Max Drawdown
AAPL,-3.02%,-35.18%
META,-3.81%,-81.75%
JPM,-2.72%,-47.30%
JNJ,-1.67%,-29.02%
XOM,-2.99%,-63.70%
AMZN,-3.25%,-61.89%
PG,-1.82%,-25.59%
NEE,-2.55%,-49.07%
CAT,-3.09%,-40.87%
NVDA,-4.75%,-71.87%
GSPC,-1.75%,-36.10%
