AAPL,META,JPM,JNJ,XOM,AMZN,PG,NEE,CAT,NVDA,SP500
,,,,,,,,,,
0.10375221944014476,0.05340738810666685,0.03572069748483241,0.02309559575401459,0.03654267788973127,0.052620512283404086,0.01926224603230608,0.014655088126836786,0.06540810129115206,0.087976754657419,0.04159748742654307
0.07529313377574122,0.03801688217242169,0.02594222439169172,0.016789435631345603,0.02601207939525378,0.03934157667023214,0.014930466047190104,0.01168091949625711,0.046394682927970436,0.06899865755930804,0.029453343761703537
0.06475195477748846,0.03368477738250088,0.021698588858776374,0.018517348893801248,0.02125023622567805,0.032147453866365604,0.012194748013600933,0.009619811065460991,0.03804680896263029,0.060182114111731085,0.024150020650873627
0.057502692582059145,0.029172587545766,0.019040715111505548,0.016945702784485768,0.01845305806757268,0.028821564763957204,0.013746867759077092,0.009399714922018717,0.03297281670401646,0.05243936138935261,0.020938545780816553
0.0515664448074383,0.02658162214083273,0.017104807511800567,0.015253045466394263,0.017313356117658392,0.026694608104809333,0.01236224044998099,0.009625236165504349,0.03007008565575785,0.04705625189626682,0.01873641323063622
0.04711873626800013,0.024752678792073775,0.01590050214106133,0.013949537078418901,0.016263019503690915,0.02571441379739293,0.01157080644150187,0.00888823120375576,0.028025546956248763,0.04327231585159199,0.017243851563531025
0.043765514794431026,0.022936292460982905,0.015006542431564998,0.013782468526046759,0.015175309372472693,0.02520955404937656,0.011039517104952126,0.01361783820523592,0.02612405254003692,0.04006794096848244,0.016358934548599338
0.0418945738310451,0.022072233084738224,0.01410891729788724,0.01315626850158918,0.014227486925221173,0.025443322737798372,0.010807918090882128,0.014248332438688194,0.024860230360672458,0.03786750425127939,0.01548438567588067
0.0398057799478969,0.021738687377402834,0.013378355737428729,0.012939221646415977,0.013460211693654845,0.02401954413888741,0.010488955244500811,0.013475985916571596,0.02346714181135572,0.03612853110122855,0.014614389289450904
0.037836709608049565,0.020646283164624416,0.012691873165773094,0.012506502558711021,0.012827925642065764,0.022809874805427118,0.00995096421944047,0.012796093135157331,0.022882768974681292,0.03441507475331132,0.01390280433304577
0.03613796642684099,0.019712560153497725,0.012596425677492742,0.012367948807706261,0.012487538529379918,0.02183980004252089,0.009799437041744219,0.01220123567190359,0.022296668237552705,0.033534909759416656,0.01348876340639642
0.03513914828851437,0.020105078465603797,0.013379965557250392,0.012691281016039568,0.013070311308204316,0.024578705143601404,0.00991507269080067,0.011742022130277287,0.023988531060467323,0.03684835349654013,0.013993667533487738
0.033802831723868734,0.020800355157173843,0.012951819028624753,0.012194549630244841,0.01287497599872077,0.023614577351465483,0.015895057638109382,0.011475590680080059,0.023126756199235925,0.03541367170850691,0.013450464837305233
0.032611596820865126,0.02010647631842419,0.012495767844311018,0.012326878353566759,0.012406779546020928,0.022785420036540202,0.015492355178538591,0.011061783192027339,0.02230289531978244,0.03640846269563617,0.012973589070723768
0.03268765666447487,0.01987158444998292,0.01210379931768451,0.012157254537696121,0.012007327660109951,0.022042437787418177,0.01518045895470897,0.014346762190526647,0.02257516390062215,0.03519360485607928,0.012596563208652711
0.03172883976513082,0.019639878629627176,0.011726756218215544,0.01185140117003109,0.011807827524391953,0.022179009658271513,0.014715422458962178,0.014171700895714215,0.03284456114329177,0.051443341511802985,0.012517752147503912
0.030868252501218617,0.020117841701145084,0.011376897450332038,0.01172573294081426,0.011470288434620585,0.02271571003485482,0.014281517326698702,0.013752257146557652,0.0321384452743931,0.05119078884117216,0.012190495151978308
0.033733674613378097,0.021493422172039815,0.011057889078787728,0.011576463945006638,0.011354514701874104,0.024367262978971224,0.014019502212120456,0.013385336754790512,0.031862800167042224,0.05080716741501695,0.012195944101290037
0.032851394698368924,0.030179273539128068,0.011082480007544792,0.011458024467287631,0.011355778812250994,0.024326631774318846,0.01423760293289924,0.014595559076542298,0.031376669109308475,0.05045658754035026,0.011925130823123046
0.03202300552166479,0.02962648461790836,0.010805007165822009,0.011253184398261371,0.013190469278768465,0.027174541080301567,0.013964629970593475,0.01436470196488992,0.030891275513652495,0.04918715249439754,0.011639522180552595
0.03172004329317821,0.029018375991609342,0.01054688499713571,0.011287279223576644,0.013474089955724406,0.0265221802181261,0.013636366703746619,0.014019128815605646,0.03015048510852,0.048355840720204976,0.011379025472750246
0.031114233889997765,0.028352252158018555,0.01040715145010908,0.011034078607261128,0.013245209733805007,0.02604931860645387,0.013473542226723444,0.013701769263034208,0.029489791542189718,0.047244539918811196,0.0111192221075563
0.030440820541914004,0.02787638215316351,0.0101938849234898,0.010792806472901472,0.013054277669068314,0.025648124442181106,0.013182125027966195,0.013410131792527829,0.028968939616524053,0.046320790922101264,0.010943605336788434
0.030159543047244254,0.02811993534200246,0.010440908310400149,0.010712683774897445,0.012965378708643237,0.02538105850842519,0.01309930268405114,0.013517047087149167,0.02852127916800527,0.04611670444450148,0.01102069425104734
0.02955278436123222,0.027556040653752712,0.01047791236552799,0.010499449476658141,0.012705401676311002,0.025124214893554438,0.012848541796019542,0.013304899074762469,0.02794902093010819,0.04518651690061943,0.010807710554134733
0.029029011128605828,0.02722549955722411,0.010335805663484736,0.010330335311102678,0.012460475235706554,0.024636539854995133,0.012610498058315092,0.01305825182784228,0.02740810120463294,0.044401842793925506,0.010606357500245321
0.02850756300479564,0.026811956600143055,0.010585123287431882,0.01052708284845124,0.012539589365835125,0.024743946110079833,0.012445258684208973,0.012816684669921492,0.027397493741714414,0.04391606458356898,0.01057730976616947
0.02802520879573143,0.026437413254119194,0.010412555948435093,0.010337671550577465,0.012402989488712216,0.024298795921290528,0.012238035025150387,0.012620135000371749,0.02690484182684189,0.0431473769689395,0.010386761675322402
