Date,AAPL,META,JPM,JNJ,XOM,AMZN,PG,NEE,CAT,NVDA,SP500
2019-01-02,37.46920394897461,134.62351989746094,80.83654022216797,103.7909698486328,49.664737701416016,76.95649719238281,75.3482437133789,35.50020217895508,108.02359008789062,3.376983404159546,2510.030029296875
2019-01-03,33.73699188232422,130.7142333984375,79.68766784667969,102.1417007446289,48.90220260620117,75.01399993896484,74.81995391845703,35.412410736083984,103.86097717285156,3.1729562282562256,2447.889892578125
2019-01-04,35.17720413208008,136.8758544921875,82.62541198730469,103.85599517822266,50.70521926879883,78.76950073242188,76.34706115722656,36.064598083496094,109.53650665283205,3.376239538192749,2531.93994140625
2019-01-07,35.098907470703125,136.97508239746094,82.68285369873047,103.18976593017578,50.968894958496094,81.47550201416016,76.04165649414062,36.0123405456543,109.6048812866211,3.5549798011779785,2549.68994140625
2019-01-08,35.76799774169922,141.42019653320312,82.52691650390625,105.58650207519533,51.339473724365234,82.8290023803711,76.32230377197266,36.27571868896485,110.92121887207033,3.466477870941162,2574.409912109375
2019-01-09,36.37541198730469,143.10696411132812,82.38742065429688,104.74967956542967,51.61030197143555,82.97100067138672,75.0758285522461,36.11894226074219,111.34859466552734,3.534651756286621,2584.9599609375
2019-01-10,36.49166488647461,143.07720947265625,82.37921905517578,105.38340759277344,51.34659957885742,82.81099700927734,75.2574462890625,36.66242218017578,113.64788818359376,3.6003475189208984,2596.639892578125
2019-01-11,36.13338088989258,142.6803436279297,81.98534393310547,105.4158935546875,51.11142349243164,82.02799987792969,75.75273132324219,36.72931671142578,112.91277313232422,3.689594030380249,2596.260009765625
2019-01-14,35.59004592895508,144.2579345703125,82.83055114746094,104.22158813476562,51.04728317260742,80.8604965209961,75.2409439086914,35.792850494384766,112.65634155273438,3.729506731033325,2582.610107421875
2019-01-15,36.31846618652344,147.79019165039062,83.43778228759766,105.09904479980467,51.0757942199707,83.72799682617188,75.95085144042969,36.52237701416016,111.70761108398438,3.715375900268554,2610.300048828125
2019-01-16,36.762149810791016,146.39117431640625,84.11067199707031,104.02659606933594,51.05441284179688,84.18900299072266,75.42255401611328,36.51401901245117,112.53671264648438,3.6898410320281982,2616.10009765625
2019-01-17,36.98042678833008,147.145263671875,84.455322265625,104.87965393066406,51.40361022949219,84.66100311279297,75.41173553466797,36.6833381652832,114.99834442138672,3.7612385749816895,2635.9599609375
2019-01-18,37.20821762084961,148.87173461914062,85.82569885253906,106.17960357666016,52.01650238037109,84.80999755859375,76.0606689453125,36.80875778198242,117.51034545898438,3.8903980255126953,2670.7099609375
2019-01-22,36.37303161621094,146.42095947265625,84.47173309326172,104.64405822753906,51.23257064819336,81.6084976196289,75.24534606933594,37.078407287597656,113.7596206665039,3.6881062984466553,2632.89990234375
2019-01-23,36.520137786865234,143.17642211914062,84.25836944580078,104.64405822753906,50.812129974365234,82.0009994506836,78.90611267089844,37.49647521972656,113.3983383178711,3.70099687576294,2638.699951171875
2019-01-24,36.23066711425781,144.6945343017578,84.30760955810547,103.2060089111328,50.88338470458984,82.74649810791016,78.45683288574219,37.684608459472656,114.1811294555664,3.912957429885864,2642.330078125
2019-01-25,37.43124771118164,147.84976196289062,84.84100341796875,104.18096923828124,51.11142349243164,83.52850341796875,77.87442016601562,36.41367721557617,117.7339859008789,3.970223188400269,2664.760009765625
2019-01-28,37.08481979370117,146.32176208496094,85.24308013916016,104.79841613769533,50.769344329833984,81.89450073242188,77.807861328125,36.05206680297852,106.98944091796876,3.421358585357666,2643.85009765625
