Date,Open,High,Low,Close,Volume,Ticker,Daily_Return,Rolling_Volatility
2019-01-02,36.75027775052016,37.68985646575044,36.593680694580726,37.46919631958008,148158800,,,
2019-01-03,34.16170590164323,34.57455183641599,33.69191819683805,33.73699951171875,365248800,,-0.10492402048147924,
2019-01-04,34.29220295413125,35.24601741169735,34.11899903898665,35.177207946777344,234428400,,0.04180322791508856,
2019-01-07,35.28159258063865,35.31243844078,34.6172444372352,35.09889602661133,219111200,,-0.0022286936285133077,
2019-01-08,35.48565702140331,36.02188283523813,35.238900899053064,35.76800537109375,164101200,,0.018884111352552673,
2019-01-09,35.89612022438251,36.664866551777166,35.502259784558376,36.37540054321289,180396400,,0.016838947831846578,
2019-01-10,36.18321328363876,36.531996022628334,35.79409559379819,36.491661071777344,143122800,,0.0031910337714050976,
2019-01-11,36.2733941135969,36.46795124604959,35.94833573630545,36.13340377807617,108092800,,-0.00986602078640755,
2019-01-14,35.79172814036254,35.891379845195914,35.40498177461792,35.590049743652344,129756800,,-0.015151652705951386,
2019-01-15,35.654106540640925,36.39437828584423,35.601907520616955,36.31845474243164,114843600,,0.02025990998276772,
2019-01-16,36.32082550514894,36.985173695900976,36.30184371450958,36.76214218139648,122278800,,0.012142563392628439,
2019-01-17,36.58657410659207,37.40751959655014,36.36354252641356,36.98043823242188,119284800,,0.005920505831227276,
2019-01-18,37.36955746448795,37.459720094996186,37.008910562862575,37.20821762084961,135004000,,0.006140564255770484,
2019-01-22,37.11093991098238,37.18686348386207,36.21169577007339,36.37303924560547,121576000,,-0.022701820531823378,
2019-01-23,36.57470054471934,36.80959613916495,35.99339721507011,36.5201301574707,92522400,,0.00403579958773006,
2019-01-24,36.565218274806185,36.65300590810053,36.00289663164888,36.23067092895508,101766000,,-0.007957596387992382,
2019-01-25,36.890271619149736,37.51903133240946,36.61504465459194,37.43124008178711,134142000,,0.03259962872149607,
2019-01-28,36.963818953658674,37.09194514242652,36.45844277913783,37.0848274230957,104768400,,-0.009297730431517418,
2019-01-29,37.07297331497307,37.51903648842924,36.56522201726749,36.700462341308594,166348800,,-0.010418568790632661,
2019-01-30,38.73384376445083,39.42191672312946,38.01729629947396,39.208377838134766,244439200,,0.06610109148506256,
