Price,Open,High,Low,Close,Volume,Ticker
2019-01-02,106.01492354735736,109.30571849945343,105.13452974814967,108.02359008789062,4783200,
2019-01-03,107.10900125912302,107.27140627175022,102.94636201802932,103.86094665527344,6165800,
2019-01-04,106.13459600709312,109.91259976750896,105.73286136573238,109.53650665283205,5456600,
2019-01-07,109.91259262932856,110.7759007799026,108.29711134073554,109.6048812866211,4653400,
2019-01-08,111.03232017440848,112.39992909137366,109.60488537766189,110.92121124267578,4202600,
2019-01-09,112.0494771479921,113.01535143154506,111.04087568294246,111.3485870361328,4865600,
2019-01-10,109.9296803981509,113.78460810502462,108.767216890432,113.64785766601562,3418500,
2019-01-11,112.04095250064354,113.1008502319481,111.16055852219624,112.91280364990234,2908600,
2019-01-14,111.38277117721124,113.1606575430856,110.3741697140869,112.65635681152344,4482300,
2019-01-15,112.9213349838648,113.77608734524672,110.7417138538437,111.70758819580078,3224100,
2019-01-16,111.76738213922052,113.27175421253904,111.32292042890572,112.5366668701172,3636900,
2019-01-17,111.51953967142111,116.16083865169756,110.39981618450297,114.99837493896484,6878500,
2019-01-18,116.21992309661358,118.4737766663886,114.98115947382782,117.5102996826172,6122400,
2019-01-22,116.0736930970458,116.08230401030598,112.83915317172504,113.75962829589844,5188700,
2019-01-23,114.44781747988274,114.83494103319848,111.96169195857355,113.39832305908205,3123600,
2019-01-24,113.0456047832645,114.40480315152192,112.86494626933047,114.1811294555664,3943600,
2019-01-25,115.93604892361896,117.75977712598058,115.17902372578254,117.73397064208984,6417400,
2019-01-28,109.24331037458089,109.94011838816438,105.93994854424636,106.9894561767578,17421400,
2019-01-29,108.05615802535416,110.44765540570874,108.05615802535416,108.84758758544922,8550800,
2019-01-30,110.05195886548378,112.99402356133906,108.65834927271024,111.92730712890624,7181600,
2019-01-31,112.10794558728196,114.70589482754411,111.00681194649196,114.55105590820312,6643300,
2019-02-01,114.43921446270684,115.15322452374646,111.92728256950254,112.61548614501952,5646700,
2019-02-04,112.58966827392578,112.95956994660509,111.91867346540836,112.58966827392578,4541700,
2019-02-05,112.37460654368624,113.6391767237413,112.34880006053328,113.55314636230467,3614500,
2019-02-06,112.9251729709264,113.63918300587314,112.14234126830388,112.29718017578124,3098200,
2019-02-07,111.22186545101316,112.21116214973124,109.561587031537,110.78314208984376,3682100,
2019-02-08,109.66482743665746,110.62831115722656,108.86479354665526,110.62831115722656,3135000,
2019-02-11,110.9294019996508,111.89289237716784,110.70574138818074,110.91219329833984,2648100,
2019-02-12,112.05630072332627,114.89513190672744,111.8326401684896,114.12950897216795,4505600,
2019-02-13,115.44570383140184,115.54033198470069,113.94026429116944,114.49943542480467,3189600,
2019-02-14,113.36389426736638,114.62846449426236,112.92517091112538,114.08650207519533,2877500,
2019-02-15,115.3596867843852,117.20922154350608,114.99836974289848,117.16620635986328,5217500,
2019-02-19,116.4350102349447,117.8372108259877,116.13391705129187,116.8221206665039,3881300,
2019-02-20,117.32962306591804,121.02870466649566,117.28660789441614,120.7018051147461,6199000,
2019-02-21,120.22009396108832,121.27819916278052,119.0673606111869,119.4716796875,4051100,
2019-02-22,119.3856595813306,120.16849131773324,118.65444081631422,119.29962921142578,3485000,
2019-02-25,121.28684358811836,122.62883360524891,120.59002896255228,121.6481475830078,4444100,
2019-02-26,117.45010984926247,119.60073811593232,116.36619792836242,118.69747161865234,7275600,
2019-02-27,118.59423463781744,120.1254807712308,117.9748527044826,120.07386779785156,3441000,
2019-02-28,119.18781378392656,119.57492422267832,117.9748563662976,118.14690399169922,4024000,
2019-03-01,119.45446120173465,120.00502134809686,117.80278076264796,118.25871276855467,3811000,
2019-03-04,119.402857446978,120.23730207905643,117.94043317602488,119.0157470703125,3859800,
2019-03-05,118.76629075503882,119.11039914617304,117.8544264897208,117.97486114501952,3122900,
2019-03-06,118.3189520829465,118.42219115970788,115.90164815159628,115.98767852783205,3886000,
2019-03-07,115.6005697350473,115.97047148006924,113.22626783158492,114.24137115478516,4290800,
2019-03-08,112.26276176634386,113.6649751750577,112.03049030799,112.99398040771484,4238000,
2019-03-11,113.47572741320668,114.75749317008874,113.2090516685236,114.50802612304688,3914800,
2019-03-12,114.6198637037859,114.74029833526706,113.48432592720036,113.966064453125,4208800,
2019-03-13,115.2564226544919,115.5403070531311,114.14670466561888,114.843505859375,4285200,
2019-03-14,114.2757773134854,115.33389584285698,113.5703780869639,115.00699615478516,3742200,
2019-03-15,115.161807640753,115.72957650271118,113.5359336279744,114.12950897216795,7049900,
2019-03-18,114.1553509337056,115.44572795208148,114.0091097801236,115.35971069335938,4095400,
2019-03-19,116.43501435407728,116.74470533555905,114.85214204517456,115.40270233154295,3315900,
2019-03-20,115.1274246442407,115.40269821440786,113.60477627907837,114.42201232910156,3522100,
2019-03-21,113.69079960769058,115.7898145965024,113.56175405427857,115.32527160644533,2635700,
2019-03-22,114.4048215512524,114.6714973457283,111.39394209497654,111.6348114013672,5745800,
2019-03-25,111.47994892234333,113.55315744728296,111.17025796788596,113.01980590820312,3199800,
2019-03-26,114.14673083635178,114.89514516028996,112.804741099749,113.41551208496094,2638200,
2019-03-27,113.78541945821117,113.9574670571454,112.04770851827736,112.8649444580078,2378300,
2019-03-28,113.46713319901085,114.24136719011992,112.83055568289896,113.87145233154295,2487200,
2019-03-29,115.27368640008252,117.23505852155444,114.94678667103902,116.5554656982422,4681600,
2019-04-01,118.4479744628291,120.75344107908973,117.2694346721578,120.65021514892578,5081500,
2019-04-02,120.56419252779278,121.02873549612644,119.77276305082924,120.5986099243164,2529000,
2019-04-03,120.30611921123086,120.90829234406854,119.06735555145632,119.7985610961914,4821800,
2019-04-04,119.69532098533914,121.18355150725516,119.57488637304051,120.5469741821289,2988900,
2019-04-05,121.38145606504207,121.4244581262296,120.3663527690056,120.74486541748048,2812300,
2019-04-08,120.43516575570834,120.53839169733943,119.2394171350466,120.28032684326172,2497300,
2019-04-09,119.27381708936178,119.49749078998782,117.05438066628363,117.29524993896484,3316500,
2019-04-10,117.99202932626297,118.89529549400731,117.23500425213231,118.31031799316406,3310600,
2019-04-11,118.36197597906522,120.08247861921927,117.83722214876248,119.46309661865234,2762900,
2019-04-12,121.2954435007121,122.08687318810264,120.27174226739793,121.46749114990234,4383000,
2019-04-15,121.87177011929536,122.52555622098346,120.1512679424836,120.65021514892578,3030200,
2019-04-16,120.91691005715283,122.33633245390202,120.08246531898902,122.18148040771484,2672800,
2019-04-17,123.01593508611636,124.30631202757914,122.55140516280272,122.79227447509766,3469400,
2019-04-18,123.5884616067458,125.29342949909147,123.25958052925152,124.0731201171875,4504500,
2019-04-22,123.7182533879495,123.91730669543664,122.40274252578996,123.22494506835938,3637500,
2019-04-23,122.89611808152016,123.87409845835693,122.4114594471096,122.92208099365234,5930500,
2019-04-24,120.94884426551246,121.42485309164924,118.1880062798792,119.20059967041016,8694400,
2019-04-25,118.6120838399612,118.9669279673739,116.050299405856,117.81585693359376,5094700,
2019-04-26,118.18798995857853,120.32569122314452,117.60812954352836,120.32569122314452,5119200,
2019-04-29,120.73248227518614,121.5546721656172,120.14397185456954,120.31706237792967,3374300,
2019-04-30,121.15652206026184,121.16517196125788,119.0707470020708,120.66320037841795,3862000,
2019-05-01,120.80167895812195,121.10458396677868,119.12267373509302,119.56405639648438,3652000,
2019-05-02,119.884308256645,119.90160806174804,116.30128091256049,116.98499298095705,5405700,
2019-05-03,117.80716046368,120.47279580716578,117.53021836882668,120.35163116455078,4154800,
2019-05-06,116.64744304492908,118.9928604412064,116.2406731894642,118.3610610961914,4866500,
2019-05-07,117.0109595552064,117.70333475377323,114.29339779574732,115.68679809570312,5622900,
2019-05-08,115.12424335722194,116.3358899732254,114.0597111096357,114.19818878173828,4140500,
2019-05-09,112.7009197635313,113.96449201273845,110.93536272787674,113.549072265625,5906200,
2019-05-10,112.96919457911956,114.00775039010624,110.7103294173956,113.67021942138672,5240600,
2019-05-13,110.35551096507716,110.3641608661849,107.38696394957609,108.44283294677734,8580700,
2019-05-14,109.4814048548015,111.264261982962,108.78902969278904,110.32090759277344,4019100,
2019-05-15,108.97077805039498,110.74497858790082,108.16589476952342,110.17377471923828,2875900,
2019-05-16,111.15172415315767,111.2382759826798,109.41214330978572,109.57658386230467,4316600,
2019-05-17,107.6466257655856,108.64191268164748,105.8637684640522,106.24457550048828,6122600,
2019-05-20,105.20599640703284,106.47823189773428,104.98963000665444,105.95895385742188,6312500,
2019-05-21,106.7378881233121,108.24379661727492,106.20995350938053,108.1399383544922,5492900,
2019-05-22,107.5341011744427,108.56400735498204,106.9023083789322,106.93692779541016,4620400,
2019-05-23,105.67335094456872,107.11002704405722,105.07618415643726,105.81182861328124,4964900,
2019-05-24,106.90231476566422,107.38698002233292,105.7685568709347,106.36573028564452,3802500,
2019-05-28,106.3657208793796,106.85037949020943,105.16272425394244,105.2319564819336,4889400,
2019-05-29,104.288590193063,106.30512634333644,104.08088032698936,105.13674926757812,5330000,
2019-05-30,105.24928033441262,106.17532833435568,104.96367507947284,105.44833374023438,2878300,
2019-05-31,103.67410747563316,104.50495351870408,102.7653661081926,103.69141387939452,4711500,
2019-06-03,103.7779838151136,105.3185115347968,103.64816265383028,104.41842651367188,4161800,
2019-06-04,105.422356979794,106.25320311896144,104.50496560585503,105.65603637695312,4060400,
2019-06-05,106.79845877256268,107.00616867241968,105.55218616746338,106.5561294555664,3598400,
2019-06-06,106.5388091171136,107.27445352252974,105.78585830580757,106.789794921875,3295700,
2019-06-07,107.64662724438593,108.72845942823236,107.38699148205052,107.7158660888672,2547500,
2019-06-10,108.58997373045322,110.15646440892344,108.39091373009984,108.82364654541016,3705000,
2019-06-11,111.64506555357109,112.16435021062182,109.87951488734322,110.15646362304688,4516200,
2019-06-12,109.69775976122816,110.36416533730744,109.11789942057786,110.00067138671876,3034600,
2019-06-13,110.21701755689188,111.12575226665152,109.70639613945224,110.0612335205078,3495200,
2019-06-14,109.5765986554837,110.4766836596122,108.61593132429746,110.11318969726562,2530100,
2019-06-17,110.0958688204988,110.9786407521126,109.63717314798532,110.19107055664062,2607900,
2019-06-18,111.12578696463468,113.67892126093314,110.96135958001544,112.796142578125,4756100,
2019-06-19,112.78749579550536,113.84335179471222,112.39802566769768,113.0384750366211,3847200,
2019-06-20,115.02039166307247,115.7993187533215,113.81739481167064,115.65219116210938,3803600,
2019-06-21,115.40981362439987,117.05419256286456,114.71743867969498,115.87715911865234,5742500,
2019-06-24,115.66081638082176,116.79457414627991,115.58292765020778,116.2926025390625,3197700,
2019-06-25,116.4743635143633,116.75996875071128,114.78670821408636,115.7214126586914,3751800,
2019-06-26,116.19738763779996,117.4003840961907,116.12814881644486,116.9676513671875,3343700,
2019-06-27,117.44365929701534,117.71195147441516,115.94640776142478,117.27056884765624,3594400,
2019-06-28,117.7033283284264,118.8024734009262,117.7033283284264,117.95430755615234,10469400,
2019-07-01,120.55934169549016,121.31229242275931,116.8118746541703,118.22258758544922,4834800,
2019-07-02,118.2226084283104,118.56013949031303,116.8984470923033,117.5735092163086,3204900,
2019-07-03,118.08410057496478,118.11871338013572,116.2579680637682,117.34844970703124,2538600,
2019-07-05,116.34455807391473,117.3485015447571,115.29735187898618,117.261962890625,3071800,
2019-07-08,116.96767119178664,117.81583699267424,116.3445348999316,116.69937896728516,2742100,
2019-07-09,116.06758831968382,116.35319354298764,115.4098392395019,116.2233657836914,2618700,
2019-07-10,116.6041766865512,117.26193899490649,114.7174680158537,114.79535675048828,3933300,
2019-07-11,115.2800199531146,115.98104500458624,114.75208538746996,115.93778228759766,3164200,
2019-07-12,116.5868675549199,119.76312447069942,116.49166581822,119.74581146240234,4149800,
2019-07-15,119.76312535418216,121.1565253983658,119.6592605095895,120.85360717773438,4498700,
2019-07-16,120.65454929476752,121.7017551611185,119.5727174128604,120.37759399414062,4051600,
2019-07-17,119.60735150403796,119.87564374553492,117.4696502685547,117.46965026855467,3750200,
2019-07-18,116.72532462707434,117.64271591950566,116.0069866966344,116.74263763427734,3548200,
2019-07-19,117.05663413759255,119.52474981285444,117.05663413759255,118.80960083007812,4837100,
2019-07-22,118.93168208197156,119.1846057844038,117.38803041224972,117.9461898803711,3267800,
2019-07-23,118.5479523831412,120.55384267191072,118.19910768403878,120.4404754638672,4122200,
2019-07-24,114.2309318836658,117.13510980963676,112.02445663820312,115.0420150756836,12664900,
2019-07-25,114.3181524709956,117.64966322224376,114.2570973302241,117.48397064208984,4823200,
2019-07-26,117.25720944392184,117.50140339151037,115.66994878459644,115.92285919189452,4238000,
2019-07-29,116.41996030975729,117.43161510275408,115.86180089350827,117.26592254638672,2715600,
2019-07-30,116.27169274496713,116.48972396000865,114.675702653955,115.9489974975586,3257200,
2019-07-31,115.90540501115952,117.18742980180927,114.25708932426286,114.83269500732422,4322000,
2019-08-01,114.80652579097352,116.1583221003232,110.2540325704312,110.57672119140624,5530100,
2019-08-02,110.36742166444051,110.58545291494018,107.70743774683042,108.61444854736328,5968600,
2019-08-05,106.49518610783672,107.10567095678734,104.9428046458316,106.09400939941406,5482500,
2019-08-06,107.0795018411012,107.8382529539095,105.21315495348048,106.4690170288086,3713900,
2019-08-07,104.65500203526324,105.70154939410156,103.4776345931237,105.33525848388672,5048700,
2019-08-08,105.52713759202622,106.48647387574188,104.97770117182756,106.4167022705078,3734800,
2019-08-09,105.97189568870142,106.1375948907912,103.61715452805566,104.11426544189452,3805600,
2019-08-12,103.73927644110866,103.80904804498006,101.22755858581554,101.79444122314452,4321500,
2019-08-13,101.98631201468486,106.39926292139326,101.8554919180406,103.79161071777344,4331900,
2019-08-14,101.67234520905392,101.95142497340414,100.3292717638102,100.47753143310548,5543100,
2019-08-15,100.3641381255359,100.81764015959172,99.3960789249434,100.51239776611328,4171900,
2019-08-16,101.38451353812891,102.79735818666786,101.09671074149948,101.54149627685548,3551900,
2019-08-19,103.10262051475104,103.33809134153918,101.78570987678222,102.35259246826172,2630900,
2019-08-20,102.55316970250844,102.72759868482352,101.57639401668506,101.75081634521484,2402000,
2019-08-21,102.91073251847234,104.06193705676488,102.50955588507482,102.63165283203124,2783000,
2019-08-22,103.19854882078351,103.73054558233136,102.23048957624792,102.81481170654295,2118200,
2019-08-23,101.38452702769592,101.9514095848444,98.82920061796472,99.47457122802734,6102000,
2019-08-26,100.346680168313,100.87867684351066,99.28268681791764,99.78852081298828,5200400,
2019-08-27,100.43391886121458,100.69555237068174,98.68094573650583,98.88153076171876,3160700,
2019-08-28,98.428029334828,100.25076741513168,97.45997003971456,100.17227935791016,3187900,
2019-08-29,101.707228420118,103.02413248977074,101.59384790219198,102.71016693115234,3442900,
2019-08-30,103.80030700270314,104.29741795029992,103.30319605510635,103.78286743164062,2912000,
2019-09-03,102.82352459992158,102.82352459992158,100.64321240167806,102.06477355957033,3780600,
2019-09-04,103.27704140091184,103.99218363820756,103.13750486020778,103.87008666992188,3688400,
2019-09-05,105.09106019678616,108.35280576224056,105.09106019678616,107.2626495361328,5355100,
2019-09-06,107.8905832226956,108.4400195787136,106.80042696995584,107.00973510742188,3315700,
2019-09-09,107.61151706668674,111.10001751563688,107.44581116614992,110.97792053222656,4433300,
2019-09-10,110.98664194756972,113.6291732788086,110.95175614515982,113.6291732788086,8479700,
2019-09-11,114.11756959533406,116.15833904498017,112.91403275230424,116.07112121582033,7592600,
2019-09-12,115.12047413313864,115.72224237713644,113.43727964897636,114.9024429321289,5594600,
2019-09-13,115.81820330147552,116.85603418642155,114.3617561403364,116.67288208007812,3704900,
2019-09-16,115.98390609082264,116.69032519668968,115.11178110924432,116.1234359741211,2876500,
2019-09-17,115.63505158751066,115.78331124192438,114.41408189964962,115.26876068115234,2888900,
2019-09-18,114.79782852833674,115.3123791316723,113.13206643187148,114.30944061279295,3005700,
2019-09-19,114.65827001988752,115.14665787025297,113.26286475521128,113.48089599609376,2725700,
2019-09-20,113.38496096808136,114.23965300814037,111.5186207445561,111.77153778076172,6412300,
2019-09-23,111.0563868525381,112.39946671463612,110.18426191107152,111.99828338623048,2723500,
2019-09-24,112.27736316353916,112.50411084428316,109.5127222045202,109.87901306152344,3370700,
2019-09-25,109.75691437097198,110.60287656573789,109.03304912660688,110.41973114013672,2354100,
2019-09-26,110.57671076858004,110.69008460396226,109.58248896973728,110.22785949707033,2227400,
2019-09-27,110.7598571008758,111.0912621519569,109.59121298354933,110.40228271484376,2214300,
2019-09-30,110.1842818900424,110.847098828801,109.78310514267936,110.15811920166016,2795300,
2019-10-01,111.10872679045823,112.06806296367024,106.6608906028129,106.72193908691406,3718200,
2019-10-02,105.65794809633208,106.2684329522416,104.0793972767045,104.6201171875,4255800,
2019-10-03,104.07940408028011,104.70733520385484,102.25666585292392,104.6898956298828,3110200,
2019-10-04,104.41079942867286,105.65793836556114,104.0881108038188,105.56200408935548,2442300,
2019-10-07,105.39630528728104,106.1376102091125,104.43696911468822,104.87303161621094,2334500,
2019-10-08,103.59973240247548,103.9573002023574,102.64039620680433,102.88459014892578,3530000,
2019-10-09,104.21021297491122,104.70732395202404,102.91074860557872,104.16661071777344,2557300,
2019-10-10,104.68987474337284,107.29752635494904,104.445680833765,107.00100708007812,3242900,
2019-10-11,109.54763466823592,113.70767513369556,109.36448919514706,111.9808578491211,6747800,
2019-10-14,110.59416681474448,112.12038553292068,109.89647082156384,111.96340942382812,2851500,
2019-10-15,111.62327537037936,114.84141205208212,111.32675606822514,114.2745361328125,3289000,
2019-10-16,114.24836547301426,115.8269094621706,113.47217482004238,113.5419464111328,3038300,
2019-10-17,114.22224412900324,115.870560305807,113.53325773485942,115.18158721923828,3418300,
2019-10-18,114.39924703213651,116.0517338019903,114.25862041875168,114.89148712158205,4329200,
2019-10-21,115.98144092506936,117.29991129574958,115.58590249630012,116.22755432128906,4225200,
2019-10-22,116.54396554650138,118.0118606701146,115.09365377988992,117.51084899902344,4681600,
2019-10-23,117.98546764355112,119.53248084375998,114.88266968472604,118.9611358642578,11295900,
2019-10-24,118.74142367500944,118.9172170202512,116.3593950108127,117.65149688720705,3916200,
2019-10-25,118.66234263315404,123.03966085043466,118.53050095065396,122.81991577148438,8319500,
2019-10-28,123.03083459223922,124.48994464578176,122.06395120442892,123.10993957519533,6174000,
2019-10-29,122.5122638849966,124.3317459145244,121.9760854294984,124.2262725830078,4427900,
2019-10-30,123.93618626160962,123.93618626160962,122.71440453636856,123.3560562133789,3948100,
2019-10-31,122.50345062674458,123.3560623854547,119.88409371875636,121.12345886230467,4037600,
2019-11-01,122.50342098402676,127.10928036106084,122.38036433791588,127.0038070678711,6220200,
2019-11-04,127.75974836456624,129.21005999969466,127.46968335510648,129.13973999023438,5437800,
2019-11-05,129.08701610614418,130.08905286878172,128.04102765672474,128.65631103515625,4516700,
2019-11-06,128.7442322372743,128.7442322372743,127.15328020552435,127.8828353881836,3736600,
2019-11-07,129.55285823579146,130.4494215674778,128.99031158716218,129.21884155273438,3816700,
